pub_year,Team/League Updates,Coaching Updates & Contraversies,Schedules & Power Rankings,How to Watch
2012,0.0,0.3,0.2,0.5
2013,0.03571428571428571,0.2532467532467532,0.22077922077922077,0.4902597402597403
2014,0.05830903790087463,0.26822157434402333,0.18658892128279883,0.4868804664723032
2015,0.060903732809430254,0.3182711198428291,0.2043222003929273,0.4165029469548134
2016,0.07947019867549669,0.29635761589403975,0.16556291390728478,0.4586092715231788
2017,0.10874200426439233,0.2302771855010661,0.19616204690831557,0.464818763326226
2018,0.0782312925170068,0.23809523809523808,0.22789115646258504,0.4557823129251701
2019,0.13629160063391443,0.23137876386687797,0.22820919175911253,0.4041204437400951
2020,0.13396481732070364,0.21515561569688768,0.3044654939106901,0.34641407307171856
2021,0.09795479009687837,0.29709364908503766,0.23358449946178686,0.3713670613562971
2022,0.0982961992136304,0.26474442988204455,0.20707732634338138,0.42988204456094364
2023,0.10146103896103896,0.18019480519480519,0.3482142857142857,0.37012987012987014
2024,0.0907244414353419,0.2004062288422478,0.26066350710900477,0.4482058226134055
